Contig	Len_ctg	len_gff	coverage
NODE_895_length_1155_cov_1.21498	1155	53	4.589
NODE_898_length_1154_cov_1.80915	1154	38	3.293
NODE_917_length_1141_cov_1.12919	1141	73	6.398
NODE_940_length_1124_cov_1.52156	1124	59	5.249
NODE_966_length_1107_cov_1.48673	1107	122	11.021
NODE_972_length_1103_cov_1.23053	1103	46	4.170
NODE_975_length_1102_cov_1.29436	1102	34	3.085
NODE_976_length_1102_cov_1.14872	1102	30	2.722
NODE_981_length_1098_cov_1.41401	1098	58	5.282
NODE_1005_length_1084_cov_2.21944	1084	29	2.675
NODE_1007_length_1081_cov_0.485325	1081	29	2.683
NODE_1012_length_1076_cov_0.929622	1076	1073	99.721
NODE_1032_length_1071_cov_1.30191	1071	31	2.894
NODE_1038_length_1067_cov_2.04149	1067	63	5.904
NODE_1040_length_1066_cov_173.691	1066	1065	99.906
NODE_1054_length_1057_cov_0.689247	1057	34	3.217
NODE_1057_length_1056_cov_2.06028	1056	52	4.924
NODE_1085_length_1040_cov_2.1632	1040	55	5.288
NODE_1090_length_1039_cov_0.741228	1039	34	3.272
NODE_1097_length_1034_cov_1.66924	1034	34	3.288
NODE_1110_length_1025_cov_1.26169	1025	32	3.122
NODE_1115_length_1022_cov_1.5352	1022	54	5.284
NODE_1138_length_1013_cov_0.67833	1013	37	3.653
NODE_1143_length_1011_cov_2.01697	1011	43	4.253
NODE_1144_length_1011_cov_1.56448	1011	45	4.451
NODE_1147_length_1009_cov_8.11791	1009	378	37.463
NODE_1154_length_1005_cov_1.12073	1005	20	1.990
NODE_1159_length_1003_cov_2.22146	1003	36	3.589
NODE_1178_length_993_cov_1.2448	993	38	3.827
NODE_1182_length_992_cov_0.996532	992	29	2.923
NODE_1189_length_991_cov_1.9456	991	39	3.935
NODE_1197_length_987_cov_1.8407	987	39	3.951
NODE_1201_length_985_cov_1.39744	985	71	7.208
NODE_1202_length_985_cov_0.812354	985	42	4.264
NODE_1211_length_982_cov_1.85263	982	48	4.888
NODE_1215_length_981_cov_1.31733	981	89	9.072
NODE_1221_length_978_cov_1.3584	978	28	2.863
NODE_1259_length_967_cov_1.08701	967	42	4.343
NODE_1265_length_963_cov_1.71411	963	44	4.569
NODE_1274_length_961_cov_2.33813	961	40	4.162
NODE_1277_length_960_cov_1.79112	960	52	5.417
NODE_1278_length_960_cov_1.2521	960	38	3.958
NODE_1282_length_960_cov_0.62425	960	64	6.667
NODE_1283_length_960_cov_0.989196	960	36	3.750
NODE_1284_length_959_cov_1.03005	959	40	4.171
NODE_1289_length_956_cov_1.30519	956	53	5.544
NODE_1297_length_952_cov_1.41212	952	92	9.664
NODE_1316_length_944_cov_1.54835	944	44	4.661
NODE_1326_length_940_cov_1.04674	940	33	3.511
NODE_1347_length_932_cov_1.09814	932	41	4.399
NODE_1365_length_924_cov_0.708908	924	86	9.307
NODE_1372_length_922_cov_1.64277	922	45	4.881
NODE_1374_length_921_cov_1.12091	921	51	5.537
NODE_1390_length_919_cov_0.65404	919	44	4.788
NODE_1394_length_918_cov_0.860936	918	47	5.120
NODE_1447_length_904_cov_0.680824	904	25	2.765
NODE_1457_length_901_cov_1.8863	901	38	4.218
NODE_1470_length_896_cov_0.680104	896	30	3.348
NODE_1479_length_891_cov_0.848168	891	47	5.275
NODE_1484_length_889_cov_0.706037	889	34	3.825
NODE_1486_length_888_cov_2.35348	888	43	4.842
NODE_1489_length_888_cov_0.586071	888	37	4.167
NODE_1500_length_885_cov_0.916887	885	26	2.938
NODE_1522_length_877_cov_1.46933	877	60	6.842
NODE_1532_length_875_cov_2.16711	875	30	3.429
NODE_1539_length_874_cov_2.56359	874	69	7.895
NODE_1541_length_874_cov_0.580991	874	38	4.348
NODE_1557_length_869_cov_1.2372	869	39	4.488
NODE_1617_length_850_cov_0.814661	850	61	7.176
NODE_1619_length_850_cov_0.771784	850	52	6.118
NODE_1636_length_838_cov_0.684798	838	36	4.296
NODE_1638_length_843_cov_1.09777	843	49	5.813
NODE_1647_length_841_cov_0.529412	841	39	4.637
NODE_1658_length_839_cov_0.592697	839	836	99.642
NODE_1665_length_837_cov_0.597183	837	42	5.018
NODE_1677_length_833_cov_0.624646	833	66	7.923
NODE_1692_length_827_cov_1.24143	827	40	4.837
NODE_1694_length_827_cov_1.18143	827	36	4.353
NODE_1702_length_826_cov_0.552217	826	47	5.690
NODE_1710_length_824_cov_1.90674	824	32	3.883
NODE_1723_length_818_cov_1.54414	818	110	13.447
NODE_1740_length_813_cov_1.03061	813	42	5.166
NODE_1765_length_805_cov_1.62242	805	36	4.472
NODE_1766_length_805_cov_1.9882	805	53	6.584
NODE_1790_length_798_cov_1.13115	798	41	5.138
NODE_1855_length_782_cov_0.960305	782	58	7.417
NODE_1867_length_780_cov_0.7366	780	86	11.026
NODE_1874_length_778_cov_1.67435	778	65	8.355
NODE_1880_length_776_cov_0.973806	776	49	6.314
NODE_1931_length_767_cov_0.896875	767	54	7.040
NODE_1948_length_765_cov_2.13636	765	58	7.582
NODE_1973_length_758_cov_0.884311	758	47	6.201
NODE_1975_length_758_cov_1.16323	758	61	8.047
NODE_1996_length_754_cov_0.835726	754	55	7.294
NODE_1998_length_753_cov_1.27636	753	43	5.710
NODE_2032_length_745_cov_1.27508	745	56	7.517
NODE_2041_length_742_cov_1.00325	742	56	7.547
NODE_2043_length_742_cov_0.595122	742	26	3.504
NODE_2050_length_741_cov_0.713355	741	47	6.343
NODE_2051_length_741_cov_52.4951	741	253	34.143
NODE_2056_length_740_cov_1.15008	740	47	6.351
NODE_2068_length_738_cov_0.762684	738	28	3.794
NODE_2077_length_737_cov_0.667213	737	54	7.327
NODE_2081_length_736_cov_1.26929	736	37	5.027
NODE_2090_length_735_cov_1.90461	735	42	5.714
NODE_2096_length_734_cov_0.713344	734	548	74.659
NODE_2101_length_733_cov_2.43564	733	24	3.274
NODE_2111_length_731_cov_0.582781	731	68	9.302
NODE_2126_length_728_cov_0.59401	728	48	6.593
NODE_2138_length_726_cov_0.616027	726	67	9.229
NODE_2156_length_722_cov_1.2958	722	61	8.449
NODE_2176_length_718_cov_1.86464	718	37	5.153
NODE_2196_length_715_cov_0.998299	715	37	5.175
NODE_2197_length_715_cov_0.782313	715	26	3.636
NODE_2200_length_714_cov_2.34583	714	55	7.703
NODE_2207_length_713_cov_0.680887	713	50	7.013
NODE_2208_length_713_cov_8.20307	713	217	30.435
NODE_2211_length_712_cov_1.42222	712	49	6.882
NODE_2213_length_712_cov_1.58632	712	33	4.635
NODE_2223_length_711_cov_0.650685	711	36	5.063
NODE_2225_length_710_cov_1.31904	710	38	5.352
NODE_2246_length_707_cov_1.01207	707	29	4.102
NODE_2254_length_705_cov_1.49827	705	77	10.922
NODE_2267_length_704_cov_0.764298	704	28	3.977
NODE_2298_length_696_cov_0.831283	696	67	9.626
NODE_2304_length_695_cov_0.670775	695	31	4.460
NODE_2310_length_694_cov_0.802469	694	46	6.628
NODE_2329_length_692_cov_59.3115	692	691	99.855
NODE_2351_length_689_cov_1.08897	689	27	3.919
NODE_2376_length_685_cov_0.860215	685	97	14.161
NODE_2382_length_684_cov_1.7307	684	21	3.070
NODE_2388_length_683_cov_0.848921	683	28	4.100
NODE_2391_length_680_cov_0.610811	680	37	5.441
NODE_2396_length_681_cov_0.855596	681	33	4.846
NODE_2414_length_679_cov_1.11051	679	41	6.038
NODE_2421_length_678_cov_1.73503	678	63	9.292
NODE_2425_length_677_cov_1.93636	677	52	7.681
NODE_2436_length_676_cov_1.09472	676	33	4.882
NODE_2437_length_676_cov_0.992714	676	50	7.396
NODE_2448_length_675_cov_0.983577	675	45	6.667
NODE_2453_length_674_cov_0.612431	674	25	3.709
NODE_2463_length_672_cov_0.862385	672	47	6.994
NODE_2465_length_671_cov_0.674632	671	31	4.620
NODE_2470_length_670_cov_1.24862	670	49	7.313
NODE_2478_length_668_cov_280.856	668	666	99.701
NODE_2481_length_667_cov_1.3963	667	36	5.397
NODE_2488_length_667_cov_0.681481	667	82	12.294
NODE_2535_length_659_cov_1.05263	659	42	6.373
NODE_2543_length_658_cov_0.580038	658	70	10.638
NODE_2544_length_658_cov_0.559322	658	45	6.839
NODE_2555_length_656_cov_0.89603	656	159	24.238
NODE_2561_length_656_cov_74.5104	656	644	98.171
NODE_2566_length_655_cov_0.596591	655	43	6.565
NODE_2567_length_649_cov_165.551	649	617	95.069
NODE_2573_length_654_cov_0.538899	654	24	3.670
NODE_2586_length_653_cov_0.891635	653	138	21.133
NODE_2620_length_647_cov_0.736538	647	31	4.791
NODE_2627_length_646_cov_1.04046	646	49	7.585
NODE_2647_length_643_cov_0.649225	643	130	20.218
NODE_2661_length_640_cov_1.31189	640	25	3.906
NODE_2673_length_639_cov_1.44922	639	54	8.451
NODE_2675_length_639_cov_0.591797	639	29	4.538
NODE_2677_length_639_cov_0.636719	639	104	16.275
NODE_2690_length_637_cov_0.782353	637	21	3.297
NODE_2691_length_637_cov_0.67451	637	17	2.669
NODE_2704_length_635_cov_0.824803	635	104	16.378
NODE_2711_length_634_cov_1.02959	634	47	7.413
NODE_2716_length_633_cov_1.15217	633	32	5.055
NODE_2720_length_632_cov_1.2198	632	18	2.848
NODE_2723_length_632_cov_167.685	632	630	99.684
NODE_2726_length_631_cov_0.55754	631	54	8.558
NODE_2736_length_629_cov_0.758964	629	24	3.816
NODE_2746_length_627_cov_1.626	627	46	7.337
NODE_2752_length_626_cov_1.78557	626	55	8.786
NODE_2764_length_624_cov_1.8672	624	23	3.686
NODE_2777_length_623_cov_1.9254	623	48	7.705
NODE_2794_length_621_cov_0.716599	621	57	9.179
NODE_2799_length_620_cov_1.85801	620	50	8.065
NODE_2809_length_619_cov_1.2561	619	50	8.078
NODE_2813_length_618_cov_0.665988	618	105	16.990
NODE_2828_length_616_cov_2.56033	616	51	8.279
NODE_2833_length_615_cov_0.594262	615	21	3.415
NODE_2847_length_614_cov_0.519507	614	38	6.189
NODE_2848_length_613_cov_2.05761	613	30	4.894
NODE_2853_length_613_cov_1.5823	613	24	3.915
NODE_2861_length_612_cov_1.15464	612	52	8.497
NODE_2875_length_610_cov_1.15321	610	37	6.066
NODE_2883_length_606_cov_0.765073	606	18	2.970
NODE_2887_length_607_cov_1.84792	607	45	7.414
NODE_2902_length_605_cov_0.799163	605	29	4.793
NODE_2921_length_603_cov_1.29202	603	47	7.794
NODE_2935_length_602_cov_0.570526	602	19	3.156
NODE_2938_length_601_cov_0.955696	601	33	5.491
NODE_2965_length_599_cov_0.728814	599	134	22.371
NODE_2986_length_596_cov_0.573561	596	60	10.067
NODE_2995_length_595_cov_1.35043	595	63	10.588
NODE_3037_length_590_cov_1.21382	590	48	8.136
NODE_3045_length_588_cov_0.94577	588	47	7.993
NODE_3052_length_588_cov_0.691974	588	54	9.184
NODE_3100_length_582_cov_0.736264	582	55	9.450
NODE_3101_length_582_cov_1.65055	582	45	7.732
NODE_3130_length_578_cov_184.339	578	577	99.827
NODE_3139_length_577_cov_0.642222	577	21	3.640
NODE_3141_length_577_cov_0.735556	577	47	8.146
NODE_3153_length_575_cov_0.720982	575	49	8.522
NODE_3154_length_575_cov_1.76116	575	33	5.739
NODE_3159_length_574_cov_1.1387	574	34	5.923
NODE_3175_length_573_cov_0.556054	573	27	4.712
NODE_3176_length_573_cov_0.591928	573	37	6.457
NODE_3199_length_571_cov_0.625282	571	36	6.305
NODE_3208_length_569_cov_1.26018	569	39	6.854
NODE_3226_length_568_cov_0.965986	568	40	7.042
NODE_3252_length_564_cov_1.79863	564	37	6.560
NODE_3263_length_563_cov_0.708716	563	29	5.151
NODE_3270_length_562_cov_1	562	88	15.658
NODE_3272_length_562_cov_243.768	562	561	99.822
NODE_3291_length_560_cov_0.734411	560	39	6.964
NODE_3327_length_556_cov_0.692308	556	121	21.763
NODE_3342_length_555_cov_0.890187	555	95	17.117
NODE_3361_length_553_cov_2.16432	553	44	7.957
NODE_3380_length_551_cov_0.931604	551	64	11.615
NODE_3387_length_550_cov_0.687943	550	29	5.273
NODE_3393_length_549_cov_0.748815	549	39	7.104
NODE_3401_length_548_cov_1.41568	548	62	11.314
NODE_3417_length_547_cov_0.688095	547	32	5.850
NODE_3423_length_546_cov_0.754177	546	36	6.593
NODE_3424_length_546_cov_0.754177	546	35	6.410
NODE_3430_length_546_cov_0.818616	546	51	9.341
NODE_3431_length_546_cov_0.844869	546	33	6.044
NODE_3438_length_545_cov_0.748804	545	43	7.890
NODE_3439_length_545_cov_0.755981	545	70	12.844
NODE_3444_length_545_cov_0.610048	545	69	12.661
NODE_3494_length_542_cov_0.727711	542	21	3.875
NODE_3499_length_542_cov_1.98795	542	68	12.546
NODE_3501_length_542_cov_0.795181	542	38	7.011
NODE_3512_length_541_cov_0.596618	541	40	7.394
NODE_3524_length_540_cov_0.765133	540	85	15.741
NODE_3533_length_539_cov_0.762136	539	44	8.163
NODE_3534_length_539_cov_1.33981	539	42	7.792
NODE_3549_length_538_cov_0.768856	538	22	4.089
NODE_3554_length_538_cov_1.15328	538	52	9.665
NODE_3559_length_538_cov_0.768856	538	71	13.197
NODE_3567_length_537_cov_0.770732	537	87	16.201
NODE_3579_length_537_cov_0.770732	537	57	10.615
NODE_3588_length_536_cov_0.760391	536	94	17.537
NODE_3609_length_535_cov_0.669118	535	101	18.879
NODE_3618_length_534_cov_0.769042	534	45	8.427
NODE_3623_length_534_cov_0.773956	534	57	10.674
NODE_3624_length_534_cov_0.761671	534	29	5.431
