Contig	Len_ctg	len_gff	coverage
Sc0000089_segment0	78017	1348	1.728
Sc0000090_segment0	70388	13927	19.786
Sc0000091_segment0	65146	4177	6.412
Sc0000092_segment0	60365	2084	3.452
Sc0000093_segment0	57921	1242	2.144
Sc0000096_segment0	50419	2275	4.512
Sc0000097_segment0	49053	3184	6.491
Sc0000098_segment0	44017	6010	13.654
Sc0000099_segment0	39644	7442	18.772
Sc0000101_segment0	37340	28533	76.414
Sc0000102_segment0	32567	1195	3.669
Sc0000103_segment1	26560	10295	38.761
Sc0000104_segment0	32388	742	2.291
Sc0000106_segment0	19767	11343	57.384
xfSc0000000_segment0	409460	279986	68.379
xfSc0000004_segment0	180721	150591	83.328
xfSc0000006_segment0	167619	16192	9.660
xfSc0000008_segment0	150019	105241	70.152
xfSc0000013_segment0	60990	3802	6.234
xfSc0000015_segment0	55258	40723	73.696
xfSc0000017_segment0	50980	29422	57.713
xfSc0000018_segment0	48019	12828	26.714
xfSc0000022_segment0	45714	6243	13.657
xfSc0000025_segment0	35457	19482	54.945
xfSc0000026_segment0	40529	5892	14.538
xfSc0000027_segment0	40900	12502	30.567
xfSc0000038_segment0	24120	18869	78.230
xfSc0000040_segment0	25570	18760	73.367
xfSc0000041_segment0	24903	23062	92.607
xfSc0000042_segment0	24855	11076	44.562
xfSc0000048_segment0	19439	1832	9.424
xpSc0000087_segment0	177582	98527	55.483
xpSc0000088_segment0	159571	5363	3.361
xpSc0000089_segment0	143350	57953	40.428
xpSc0000090_segment0	138398	90597	65.461
xpSc0000093_segment0	104118	52154	50.091
xpSc0000094_segment0	82802	57614	69.580
xpSc0000096_segment0	72496	28949	39.932
xpSc0000097_segment0	66853	55544	83.084
xpSc0000098_segment0	42721	23520	55.055
xpSc0000098_segment1	20576	19897	96.700
xpSc0000100_segment0	57158	11500	20.120
xpSc0000103_segment0	54211	1735	3.200
xpSc0000110_segment0	45527	30986	68.061
xpSc0000111_segment0	41024	13321	32.471
xpSc0000112_segment0	41055	14843	36.154
xpSc0000115_segment0	31748	8850	27.876
xpSc0000116_segment0	31637	8863	28.015
xpSc0000117_segment0	32202	1874	5.820
xpSc0000120_segment0	29013	1571	5.415
xpSc0000125_segment0	27941	21604	77.320
xpSc0000127_segment0	27144	18938	69.769
xpSc0000129_segment0	26226	844	3.218
xpSc0000130_segment0	25041	466	1.861
xpSc0000134_segment0	22699	19807	87.259
xpSc0000138_segment0	19908	15842	79.576
xpSc0000139_segment0	20423	4417	21.628
xpSc0000144_segment0	15621	13287	85.059
xpSc0000148_segment0	18822	16450	87.398
xpSc0000153_segment0	16986	2120	12.481
xpSc0000156_segment0	17315	233	1.346
xpSc0000174_segment1	12377	8008	64.701
xpSc0000194_segment0	12836	7318	57.012
Total	52271419	16078215	30.759
